,coeffDiff
62,0.12047596842999272
234,0.12098545897618351
146,0.12254208850177753
60,0.12300577166264298
326,0.12302653940855475
198,0.12360158940405905
371,0.12376495090642754
239,0.1239180357782372
290,0.12504720651067658
79,0.12545853883054553
15,0.12552410256392263
61,0.12554833452262062
53,0.12680372414704263
232,0.12711043486471724
144,0.12848159558289382
6,0.1303049780137617
288,0.13158413027929527
278,0.13272781500370068
205,0.13397184912073037
227,0.1347059142884302
211,0.13604986658349635
51,0.13740752219091423
96,0.13879231463296757
254,0.14007948128268022
384,0.140681809836691
129,0.1417653470446772
279,0.1433576140212354
115,0.14365159369028818
247,0.14386925402661233
13,0.1441138619659566
377,0.14425626538259928
50,0.1444767282729587
141,0.14537886711601028
325,0.14550827169516628
160,0.14571893772691968
269,0.1463439548512306
122,0.14751855739122915
54,0.1505749871140628
188,0.15100743687219548
28,0.1518699425801504
287,0.15258190739626357
236,0.1554868328183902
238,0.15612099626473272
224,0.1575403291801281
202,0.15776672838631223
351,0.15806728014965055
350,0.15942005277554488
97,0.16122346731706644
329,0.16154127551297268
149,0.16241540585055186
91,0.16344752330873183
246,0.16913516536828774
337,0.1702059320615819
169,0.17087294561778432
295,0.17224901529476266
65,0.17250741582594825
114,0.17445675018115597
321,0.17503211171412275
93,0.1782811129467123
344,0.17866687373383333
221,0.17885272119061674
354,0.18190108419274403
73,0.18191431350601073
140,0.18368593531014576
142,0.18446059134385248
109,0.18480345229871045
260,0.18679366132893344
375,0.18713697973488064
10,0.18725578109756044
356,0.18758831451044244
4,0.18844776891419196
286,0.18852059030617274
359,0.1887350696745781
284,0.1892901868380994
130,0.1911829948775806
303,0.1921164919842266
180,0.19342759587321381
316,0.19466424410832722
123,0.19535060340796626
152,0.1969446164007428
41,0.19982126522482016
330,0.20068815806026136
27,0.2021918496172153
29,0.20623538069948205
155,0.2074820132407676
241,0.209853075284608
170,0.2098960954776991
143,0.2112872908253475
75,0.21163967477017287
274,0.21192110036748824
163,0.21222616354583998
92,0.2134088525865242
21,0.21457990970802532
19,0.21799291574436147
117,0.22187878858342985
367,0.22196223596684267
158,0.22365049626247294
1,0.2253585584282432
310,0.22654066998896394
38,0.22770964320090797
314,0.22849394225867414
125,0.22872557434532342
210,0.23020302807865325
89,0.2309728832576658
124,0.23187623716786482
368,0.23214155990411073
340,0.23748706038276607
136,0.23784921558603778
365,0.2403554120566671
25,0.241279695806286
2,0.2455891279194916
228,0.24768624076880452
334,0.2482814376733859
5,0.25225071936481336
12,0.2560384537058727
108,0.2605576630254624
306,0.26214006472404294
328,0.26396109699387404
332,0.26612890444090453
300,0.27102911147760445
317,0.271625884830886
94,0.27616135328379293
8,0.27809142133601594
147,0.2868193529279084
112,0.3018626199587063
22,0.30280677392125555
121,0.31128522527716135
145,0.31666953868526715
40,0.33050092774728057
30,0.3426630058207836
81,0.347537925560672
95,0.34942215618331135
339,0.3516954875509378
16,0.3551255564963095
135,0.35933413730948954
55,0.37353854530047637
338,0.3760342103589354
49,0.3822847426771565
70,0.3834083440094902
23,0.387061282651297
11,0.3933608985007487
333,0.41743216377163117
312,0.4276118879573346
347,0.428186994770046
336,0.4295992603849291
7,0.4403352997455674
345,0.44744110817636973
26,0.47016779540022724
361,0.4954464523746545
